,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Batagay,67.63,134.63,284.19,65,3,1.65,RU,1596913712
1,Hithadhoo,-0.6,73.08,301.36,81,21,5.28,MV,1596913740
2,Horizontina,-27.63,-54.31,297.0,62,0,2.62,BR,1596913740
3,Amga,60.9,131.96,284.93,64,18,0.2,RU,1596913740
4,Busselton,-33.65,115.33,289.26,68,100,3.58,AU,1596913740
5,Esperance,-33.87,121.9,281.15,93,99,6.2,AU,1596913740
6,Port Elizabeth,-33.92,25.57,287.59,47,0,0.99,ZA,1596913741
7,Hermanus,-34.42,19.23,285.93,89,1,6.71,ZA,1596913741
8,Klyuchevskiy,53.53,119.45,285.54,98,100,2.09,RU,1596913741
9,Palatka,29.65,-81.64,307.59,52,1,0.47,US,1596913741
10,Saldanha,-33.01,17.94,287.15,87,68,9.3,ZA,1596913741
11,Vaini,-21.2,-175.2,287.15,93,20,3.86,TO,1596913741
12,Albany,42.6,-73.97,304.26,51,7,0.8,US,1596913741
13,Severo-Kuril'sk,50.68,156.12,284.24,94,100,6.21,RU,1596913741
14,Ushuaia,-54.8,-68.3,276.15,79,75,11.3,AR,1596913608
15,Punta Arenas,-53.15,-70.92,278.15,72,20,11.3,CL,1596913503
16,Butaritari,3.07,172.79,301.41,80,0,7.31,KI,1596913741
17,Cockburn Town,21.46,-71.14,301.75,82,0,7.76,TC,1596913742
18,Rikitea,-23.12,-134.97,294.43,77,100,9.9,PF,1596913742
19,Kondinskoye,59.65,67.41,291.75,85,32,2.37,RU,1596913742
20,Anchorage,61.22,-149.9,288.15,71,90,2.6,US,1596913502
21,Guánica,17.97,-66.91,304.82,73,28,2.68,PR,1596913742
22,Mar del Plata,-38.0,-57.56,285.93,93,90,3.6,AR,1596913742
23,Port Alfred,-33.59,26.89,292.46,52,0,4.15,ZA,1596913742
24,Westport,41.14,-73.36,300.15,61,1,3.6,US,1596913742
25,Lata,40.16,-8.33,298.71,55,0,2.24,PT,1596913742
26,Thinadhoo,0.53,72.93,301.58,79,99,4.54,MV,1596913742
27,Cidreira,-30.18,-50.21,291.02,70,0,3.33,BR,1596913743
28,Catherinas Lust,6.4,-57.6,302.65,68,0,3.33,GY,1596913743
29,Bengkulu,-3.8,102.27,298.26,89,33,1.15,ID,1596913743
30,Ilulissat,69.22,-51.1,279.15,81,75,4.1,GL,1596913743
31,Praia,14.92,-23.51,301.15,61,20,8.7,CV,1596913515
32,Zhigansk,66.77,123.37,285.27,66,100,2.67,RU,1596913743
33,Auki,-8.77,160.7,298.6,86,100,2.52,SB,1596913743
34,Souillac,-20.52,57.52,292.15,82,75,1.5,MU,1596913743
35,Rodrigues Alves,-7.74,-72.65,304.15,62,40,2.1,BR,1596913743
36,Cape Town,-33.93,18.42,287.15,82,40,11.8,ZA,1596913613
37,Hong Kong,22.29,114.16,300.93,78,100,2.24,HK,1596913561
38,Mataura,-46.19,168.86,281.48,90,97,4.92,NZ,1596913744
39,Mackay,-21.15,149.2,287.15,93,40,3.1,AU,1596913744
40,Paita,-5.09,-81.11,297.15,60,2,4.6,PE,1596913744
41,Geraldton,-28.77,114.6,289.15,82,90,5.1,AU,1596913744
42,Puerto Ayora,-0.74,-90.35,295.15,78,75,7.7,EC,1596913744
43,Pevek,69.7,170.31,278.81,84,100,6.07,RU,1596913744
44,Isangel,-19.55,169.27,289.15,93,58,1.5,VU,1596913744
45,Olinda,-8.01,-34.86,301.15,65,40,5.7,BR,1596913744
46,Mikkeli,61.69,27.27,294.82,74,0,2.11,FI,1596913744
47,Newtownards,54.59,-5.69,292.15,63,0,3.6,GB,1596913665
48,Nālūt,30.33,10.85,303.54,28,0,10.08,LY,1596913745
49,Coyhaique,-45.58,-72.07,281.15,52,40,3.1,CL,1596913727
50,Humaitá,-7.51,-63.02,311.42,22,0,1.81,BR,1596913805
51,Srednekolymsk,67.45,153.68,283.89,85,90,4.21,RU,1596913805
52,Puerto Quijarro,-17.78,-57.77,310.02,14,0,1.59,BO,1596913805
53,Arraial do Cabo,-22.97,-42.03,299.15,73,0,7.2,BR,1596913805
54,Jamestown,42.1,-79.24,299.26,53,20,2.6,US,1596913805
55,Pangody,65.85,74.49,285.09,91,71,5.15,RU,1596913805
56,Havøysund,71.0,24.66,291.15,63,84,4.6,NO,1596913805
57,Huangzhou,30.45,114.8,300.15,100,20,3.0,CN,1596913805
58,Saint George,37.1,-113.58,303.15,10,1,2.1,US,1596913805
59,Kapaa,22.08,-159.32,301.15,74,40,6.2,US,1596913799
60,Saint Paul Harbor,57.79,-152.41,286.15,62,90,3.1,US,1596913806
61,Tuatapere,-46.13,167.68,281.48,90,100,4.92,NZ,1596913803
62,Castro,-24.79,-50.01,294.43,41,0,2.52,BR,1596913806
63,San Patricio,19.22,-104.7,303.15,84,75,10.3,MX,1596913806
64,Muros,42.78,-9.06,298.15,67,15,6.26,ES,1596913806
65,Atar,20.52,-13.05,314.88,14,3,5.57,MR,1596913806
66,Kavieng,-2.57,150.8,300.6,78,92,4.77,PG,1596913806
67,São Filipe,14.9,-24.5,300.77,63,16,2.6,CV,1596913806
68,San Policarpo,12.18,125.51,299.51,84,97,2.99,PH,1596913806
69,Vardø,70.37,31.11,283.15,100,90,7.7,NO,1596913806
70,Quatre Cocos,-20.21,57.76,292.15,82,75,1.5,MU,1596913806
71,Vakhrushev,48.98,142.97,284.61,74,0,1.78,RU,1596913806
72,Airai,-8.93,125.41,286.69,96,100,0.94,TL,1596913806
